titles,links
Comparative analysis of variation and selection in the HCV genome,http://biorxiv.org/content/early/2016/09/30/078584
Mito-nuclear Incompatibilities and Mitochondrial Replacement Therapy,http://biorxiv.org/content/early/2016/09/30/078329
MUMdex: MUM-based structural variation detection,http://biorxiv.org/content/early/2016/09/30/078261
Mitochondrial DNA Density Homeostasis Accounts for the Threshold Effect in Human Mitochondrial Disease,http://biorxiv.org/content/early/2016/09/30/078519
Quantifying the evolutionary potential and constraints of a drug-targeted viral protein,http://biorxiv.org/content/early/2016/09/30/078428
Quantitative Seq-LGS: Genome-Wide Identification of Genetic Drivers of Multiple Phenotypes in Malaria Parasites,http://biorxiv.org/content/early/2016/09/30/078451
AGO4 is specifically required for heterochromatic siRNA accumulation at Pol V-dependent loci in Arabidopsis thaliana,http://biorxiv.org/content/early/2016/09/30/078394
Purifying selection provides buffering of the natural variation co-expression network in a forest tree species,http://biorxiv.org/content/early/2016/09/30/078188
Estimating the timing of multiple admixture events using 3-locus Linkage Disequilibrium,http://biorxiv.org/content/early/2016/09/30/078378
Heterogeneity of single-cell mechanical responses to tumorigenic factors.,http://biorxiv.org/content/early/2016/09/30/078154
Quantitative analysis of cryptic splicing associated with TDP-43 depletion,http://biorxiv.org/content/early/2016/09/30/076117
Viscous deformation of relaxing ventricle and pulsatile blood propelling (numerical model),http://biorxiv.org/content/early/2016/09/30/009522
"Human enhancers associated with immune response harbour specific sequence composition, activity, and genome organization",http://biorxiv.org/content/early/2016/09/30/078477
PyVar: An Extensible Framework for Variant Annotator Comparison,http://biorxiv.org/content/early/2016/09/30/078386
SCFSlmb recognizes a conserved degron within the survival motor neuron (SMN) self-interaction domain to mediate ubiquitylation of SMN and SMNΔ7 isoforms,http://biorxiv.org/content/early/2016/09/30/078337
A forward model at Purkinje cell synapses facilitates cerebellar anticipatory motor control,http://biorxiv.org/content/early/2016/09/30/078410
Biologically plausible learning in recurrent neural networks for flexible cognitive tasks,http://biorxiv.org/content/early/2016/09/29/057729
pyMAP: a Python package for small and large scale analysis of Illumina 450k methylation platform,http://biorxiv.org/content/early/2016/09/29/078048
Drosophila Mutants that Are Motile but Respond Poorly to All Stimuli Tested,http://biorxiv.org/content/early/2016/09/29/066423
Modeling of axonal endoplasmic reticulum network by spastic paraplegia proteins,http://biorxiv.org/content/early/2016/09/29/069005
"An odor delivery system for arbitrary time-varying patterns of odors, mixtures and concentrations",http://biorxiv.org/content/early/2016/09/29/077875
Multiresolution functional brain parcellation in an elderly population with no or mild cognitive impairment,http://biorxiv.org/content/early/2016/09/29/077974
Synaptic Transmission Parallels Neuromodulation in a Central Food-Intake Circuit,http://biorxiv.org/content/early/2016/09/29/044990
A pipeline approach to single-particle processing in RELION,http://biorxiv.org/content/early/2016/09/29/078352
Myosin II controls junction fluctuations to guide epithelial tissue ordering,http://biorxiv.org/content/early/2016/09/29/078204
Hilbert-Schmidt and Sobol sensitivity indices for static and time series Wnt signaling measurements in colorectal cancer - Part A,http://biorxiv.org/content/early/2016/09/29/035519
The Pseudomonas aeruginosa PSL polysaccharide is a social but non-cheatable trait in biofilms,http://biorxiv.org/content/early/2016/09/29/049783
A Rapid Subcortical Amygdala Route for Faces Irrespective of Spatial Frequency and Emotion,http://biorxiv.org/content/early/2016/09/28/078097
AN INTERNATIONAL INTER-LABORATORY DIGITAL PCR STUDY DEMONSTRATES HIGH REPRODUCIBILITY FOR THE MEASUREMENT OF A RARE SEQUENCE VARIANT,http://biorxiv.org/content/early/2016/09/28/077917
Actomyosin Contractility Drives Bile Regurgitation as an Early Homeostatic Response to Increased Biliary Pressure in Obstructive Cholestasis,http://biorxiv.org/content/early/2016/09/28/077792
Theta Oscillations in the Human Medial Temporal Lobe during Real World Ambulatory Movement,http://biorxiv.org/content/early/2016/09/28/078055
Can we test the influence of prosociality on high frequency heart rate variability? A double-blind sham-controlled approach.,http://biorxiv.org/content/early/2016/09/28/078006
Approximate Likelihood Inference of Complex Population Histories and Recombination from Multiple Genomes,http://biorxiv.org/content/early/2016/09/28/077958
Educational attainment and personality are genetically intertwined,http://biorxiv.org/content/early/2016/09/28/078014
A gunshot approach to identify mechanical nociception genes with a high throughput behavioral assay.,http://biorxiv.org/content/early/2016/09/28/077644
A phylogenetic codon substitution model for antibody lineages,http://biorxiv.org/content/early/2016/09/28/078279
Predicting Protein Thermostability Upon Mutation Using Molecular Dynamics Timeseries Data,http://biorxiv.org/content/early/2016/09/28/078246
Transformation of head-direction signal into spatial code,http://biorxiv.org/content/early/2016/09/28/075986
Case study: Paralog diverged features may help reduce off-target effects of drugs,http://biorxiv.org/content/early/2016/09/28/078063
Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.,http://biorxiv.org/content/early/2016/09/28/078196
A Pif1-dependent threshold separates DNA double-strand breaks and telomeres,http://biorxiv.org/content/early/2016/09/28/078162
Unique properties of Zika NS2B-NS3pro complexes as decoded by experiments and MD simulations,http://biorxiv.org/content/early/2016/09/28/078113
Evolutionary and Functional Implications of Hypervariable Loci Within the Skin Virome,http://biorxiv.org/content/early/2016/09/28/078170
Assessing the Relationship Between Vegetation Structure and Harvestmen Assemblage in an Amazonian Upland Forest,http://biorxiv.org/content/early/2016/09/28/078220
Automated Incorporation of Pairwise Dependency in Transcription Factor Binding Site Prediction Using Dinucleotide Weight Tensors,http://biorxiv.org/content/early/2016/09/28/078212
Proper modelling of ligand binding requires an ensemble of bound and unbound states,http://biorxiv.org/content/early/2016/09/28/078147
Mechanistic modelling and Bayesian inference elucidates the variable dynamics of double-strand break repair,http://biorxiv.org/content/early/2016/09/28/026070
Variant Set Enrichment: An R package to Identify Dis-ease-Associated Functional Genomic Regions,http://biorxiv.org/content/early/2016/09/28/077990
Pre-metazoan origin of animal miRNAs,http://biorxiv.org/content/early/2016/09/28/076190
Benzoate and Salicylate Tolerant Strains Lose Antibiotic Resistance during Laboratory Evolution of Escherichia coli K-12,http://biorxiv.org/content/early/2016/09/28/063271
Measuring experimental cyclohexane-water distribution coefficients for the SAMPL5 challenge,http://biorxiv.org/content/early/2016/09/28/063081
Integrating tissue specific mechanisms into GWAS summary results,http://biorxiv.org/content/early/2016/09/28/045260
State aggregation for fast likelihood computations in molecular evolution,http://biorxiv.org/content/early/2016/09/28/035063
Composition fluctuations in lipid bilayers,http://biorxiv.org/content/early/2016/09/27/078030
Interaction between distinct pools controls activity-dependent actin dynamics in the dendritic spine,http://biorxiv.org/content/early/2016/09/27/077933
Developmental dysfunction of VIP interneurons impairs cortical circuits,http://biorxiv.org/content/early/2016/09/27/077891
"""Same Difference"": Comprehensive evaluation of three DNA methylation measurement platforms.",http://biorxiv.org/content/early/2016/09/27/077941
Spatially periodic calcium profiles around single channels,http://biorxiv.org/content/early/2016/09/27/077909
Transcriptional regulatory logic of the diurnal cycle in the mouse liver,http://biorxiv.org/content/early/2016/09/27/077818
Genome-wide profiling of heritable and de novo STR variations,http://biorxiv.org/content/early/2016/09/27/077727
The hemodynamic signal as a first-order low-pass temporal filter: Evidence and implications for neuroimaging studies,http://biorxiv.org/content/early/2016/09/27/077859
PCR artifact in testing for homologous recombination in genomic editing in zebrafish,http://biorxiv.org/content/early/2016/09/27/077883
Data-driven identification of potential Zika virus vectors,http://biorxiv.org/content/early/2016/09/27/077966
Resting high frequency heart rate variability is not associated with the recognition of emotional facial expressions in healthy human adults.,http://biorxiv.org/content/early/2016/09/27/077784
"DNA Compass: a secure, client-side site for navigating personal genetic information",http://biorxiv.org/content/early/2016/09/27/077867
Evolutionary genomics of peach and almond domestication,http://biorxiv.org/content/early/2016/09/27/060160
LORENZ SYSTEM IN THERMODYNAMICAL MODELLING OF LEUKEMIA,http://biorxiv.org/content/early/2016/09/27/034132
Prevalence of Zika virus infection in wild African primates,http://biorxiv.org/content/early/2016/09/27/077628
Modelling the impact of curtailing antibiotic usage in food animals on antibiotic resistance in humans,http://biorxiv.org/content/early/2016/09/27/077776
The genetic basis and fitness consequences of sperm midpiece size in deer mice,http://biorxiv.org/content/early/2016/09/27/077826
Human Endometrial Stromal Cells Are Highly Permissive To Productive Infection by Zika Virus,http://biorxiv.org/content/early/2016/09/27/077305
Change-point detection without needing to detect change-points?,http://biorxiv.org/content/early/2016/09/27/077719
Population-level characterization of pathway alterations with SLAPenrich dissects heterogeneity of cancer hallmark acquisition,http://biorxiv.org/content/early/2016/09/27/077701
"When the Good Guy Becomes the Bad Boy: Social Information Modulates the Neural, Physiological and Subjective Responses to Emotional Facial Expressions",http://biorxiv.org/content/early/2016/09/27/077834
Nanopore DNA Sequencing and Genome Assembly on the International Space Station,http://biorxiv.org/content/early/2016/09/27/077651
SuperTranscript: a reference for analysis and visualization of the transcriptome,http://biorxiv.org/content/early/2016/09/27/077750
Real-time observation of replicative helicase assembly onto single-stranded DNA,http://biorxiv.org/content/early/2016/09/27/077800
"Co-operation, competition and crowding: a discrete framework linking Allee kinetics, nonlinear diffusion, shocks and sharp-fronted travelling waves",http://biorxiv.org/content/early/2016/09/27/077743
Short template switch events explain mutation clusters in the human genome,http://biorxiv.org/content/early/2016/09/27/038380
Repeated divergent selection on pigmentation genes in a rapid finch radiation driven by sexual selection,http://biorxiv.org/content/early/2016/09/27/075713
GTPase activity-coupled treadmilling of the bacterial tubulin FtsZ organizes septal cell-wall synthesis,http://biorxiv.org/content/early/2016/09/26/077610
The appressorium of Magnaporthe oryzae remains mitotically active during post-penetration hyphal growth in rice cells,http://biorxiv.org/content/early/2016/09/26/077669
Nuclear and structural dynamics during the establishment of a specialized effector-secreting cell by Magnaporthe oryzae in living rice cells,http://biorxiv.org/content/early/2016/09/26/077693
Control without controllers: Towards a distributed neuroscience of executive control,http://biorxiv.org/content/early/2016/09/26/077685
In−silico studies of facilitated VEGF(s) − VEGFR(s) bindings for assessment of Lysine as an indirect Low−Mol−Wt angiogen: Experimental validation of a potential synthetic Low−Mol−Wt angiogen.,http://biorxiv.org/content/early/2016/09/26/077677
"Mechanisms for Stable Bump Activity, Winner-Take-All and Group Selection in Neuronal Spiking Networks",http://biorxiv.org/content/early/2016/09/26/077396
Treadmilling by FtsZ filaments drives peptidoglycan synthesis and bacterial cell division.,http://biorxiv.org/content/early/2016/09/26/077560
The Opiliones Tree of Life: shedding light on harvestmen relationships through transcriptomics,http://biorxiv.org/content/early/2016/09/26/077594
Synaptic vesicle glycoprotein 2C (SV2C) modulates dopamine release and is disrupted in Parkinsons disease,http://biorxiv.org/content/early/2016/09/26/077586
Logistic proliferation of cells in scratch assays is delayed,http://biorxiv.org/content/early/2016/09/26/077388
A pyrethroid-treated bed net increases host attractiveness for Anopheles gambiae s.s carrying the kdr allele in a dual choice olfactometer,http://biorxiv.org/content/early/2016/09/26/077552
Variational Bayesian parameter estimation techniques for the general linear model,http://biorxiv.org/content/early/2016/09/26/077461
Managing Uncertainty in Metabolic Network Structure and Improving Predictions Using EnsembleFBA,http://biorxiv.org/content/early/2016/09/26/077636
An Electrochemistry Study of Cryoelectrolysis in Frozen Physiological Saline,http://biorxiv.org/content/early/2016/09/26/077545
Scrounging by foragers can resolve the paradox of enrichment,http://biorxiv.org/content/early/2016/09/26/077537
Contribution of de novo non-coding mutations to autism and identification of risk genes from whole-genome sequencing of affected families,http://biorxiv.org/content/early/2016/09/26/077578
A fast multi-locus random-SNP-effect EMMA for genome-wide association studies,http://biorxiv.org/content/early/2016/09/26/077404
Glutton: large-scale integration of non-model organism transcriptome data for comparative analysis,http://biorxiv.org/content/early/2016/09/26/077511
ImSig: A resource for the identification and quantification of immune signatures in blood and tissue transcriptomics data,http://biorxiv.org/content/early/2016/09/26/077487
Co-estimation of Phylogeny-aware Alignment and Phylogenetic Tree,http://biorxiv.org/content/early/2016/09/26/077503
The Mstncmpt-Dl1abc mutation impairs secretion of promyostatin,http://biorxiv.org/content/early/2016/09/26/077412
Network Identification Methods,http://biorxiv.org/content/early/2016/09/26/071217
Multidimensional stimulus-response correlation reveals supramodal neural responses to naturalistic stimuli,http://biorxiv.org/content/early/2016/09/26/077230
"Brain oscillations and connectivity in autism spectrum disorders (ASD): new approaches to methodology, measurement and modelling",http://biorxiv.org/content/early/2016/09/26/077263
Effects of variable mutation rates and epistasis on the distribution of allele frequencies in humans,http://biorxiv.org/content/early/2016/09/26/048421
"Automated discovery of relationships, models and principles in ecology",http://biorxiv.org/content/early/2016/09/26/027839
Learning of speech categories in humans and Zebra finches,http://biorxiv.org/content/early/2016/09/25/077321
Flow environment and matrix structure interact to determine spatial competition in Pseudomonas aeruginosa biofilms,http://biorxiv.org/content/early/2016/09/25/077354
"Global changes in patterning, splicing and primate specific lncRNAs in autism brain",http://biorxiv.org/content/early/2016/09/25/077057
Neuronal gamma-band synchronization regulated by instantaneous modulations of the oscillation frequency,http://biorxiv.org/content/early/2016/09/25/070672
On the (un-)predictability of a large intragenic fitness landscape,http://biorxiv.org/content/early/2016/09/25/048769
IRNdb: The database of immunologically relevant non-coding RNAs.,http://biorxiv.org/content/early/2016/09/25/037911
Insights into the genetic epidemiology of Crohn's and rare diseases in the Ashkenazi Jewish population,http://biorxiv.org/content/early/2016/09/25/077180
Traumatic brain injury causes retention of long introns in metabolic genes via regulation of intronic Histone 3 lysine 36 methylation levels in the sub-acute phase of injury,http://biorxiv.org/content/early/2016/09/25/077214
Cassava HapMap: Managing genetic load in a clonal crop species,http://biorxiv.org/content/early/2016/09/25/077123
Lessons learned from comparing molecular dynamics engines on the SAMPL5 dataset,http://biorxiv.org/content/early/2016/09/25/077248
Stomatal and physiological response of contrasting Z. mauritiana (Lamk.) clones to water stress.,http://biorxiv.org/content/early/2016/09/25/077297
RIblast: An ultrafast RNA-RNA interaction prediction system for comprehensive lncRNA interaction analysis,http://biorxiv.org/content/early/2016/09/25/077271
"Error rates, PCR recombination, and sampling depth in HIV-1 Whole Genome Deep Sequencing",http://biorxiv.org/content/early/2016/09/25/077313
Reproductive biology of three Ziziphus species (Rhamnaceae),http://biorxiv.org/content/early/2016/09/25/077289
Identifying Conserved Genomic Elements and Designing Universal Probe Sets To Enrich Them,http://biorxiv.org/content/early/2016/09/25/077172
Time to wake up: Studying neurovascular coupling and brain-wide circuit function in the un-anesthetized animal,http://biorxiv.org/content/early/2016/09/25/077024
Fixing the stimulus-as-fixed-effect fallacy in task fMRI,http://biorxiv.org/content/early/2016/09/25/077131
Enrich2: a statistical framework for analyzing deep mutational scanning data,http://biorxiv.org/content/early/2016/09/25/075150
The Identification of a 1916 Irish Rebel: New Approach for Estimating Relatedness From Low Coverage Homozygous Genomes,http://biorxiv.org/content/early/2016/09/24/076992
Contrasting genome dynamics between domesticated and wild yeasts,http://biorxiv.org/content/early/2016/09/24/076562
Histone deacetylase inhibitors correct the cholesterol storage defect in most NPC1 mutant cells,http://biorxiv.org/content/early/2016/09/23/076695
Inferring recent demography from isolation by distance of long shared sequence blocks,http://biorxiv.org/content/early/2016/09/23/076810
Mapping protein function with CRISPR/Cas9-mediated mutagenesis,http://biorxiv.org/content/early/2016/09/23/076919
Valuation in major depression is intact and stable in a non-learning environment,http://biorxiv.org/content/early/2016/09/23/074690
